rank|epithet|authorship|accepted|parent
0|Acorales|Martius||
0|Alismatales|Dumortier||
0|Amborellales|Melikian, A. V. Bobrov & Zaytzeva||
0|Apiales|Nakai||
0|Aquifoliales|Senft||
0|Arecales|Bromhead||
0|Asparagales|Link||
0|Asterales|Link||
0|Austrobaileyales|Reveal||
0|Berberidopsidales|Doweld||
0|Boraginales|Berchtold & J. Presl||
0|Brassicales|Bromhead||
0|Bruniales|Dumortier||
0|Buxales|Reveal||
0|Canellales|Cronquist||
0|Caryophyllales|Berchtold & J. Presl||
0|Celastrales|Link||
0|Ceratophyllales|Link||
0|Chloranthales|Martius||
0|Commelinales|Dumortier||
0|Cornales|Dumortier||
0|Crossosomatales|Reveal||
0|Cucurbitales|Berchtold & J. Presl||
0|Cyatheales|A.B. Frank in Leunis||
0|Cycadales|Berchtold & J. Presl||
0|Dilleniales|Berchtold & J. Presl||
0|Dioscoreales|Martius||
0|Dipsacales|Berchtold & J. Presl||
0|Equisetales|DC. ex Bercht. & J.Presl||
0|Ericales|Dumortier||
0|Escalloniales|Martius||
0|Fabales|Bromhead||
0|Fagales|Engler||
0|Garryales|Martius||
0|Gentianales|Berchtold & J. Presl||
0|Geraniales|Berchtold & J. Presl||
0|Ginkgoales|Gorozh.||
0|Gleicheniales|A.B. Frank in Leunis||
0|Gnetales|Blume||
0|Gunnerales|Reveal||
0|Huerteales|Doweld||
0|Hymenophyllales|A.B. Frank in Leunis||
0|Icacinales|Tiegh.||
0|Isoetales|Bartl.||
0|Lamiales|Bromhead||
0|Laurales|Berchtold & Presl||
0|Liliales|Perleb||
0|Lycopodiales|Berchtold & J. Presl||
0|Magnoliales|Bromhead||
0|Malpighiales|Martius||
0|Malvales|Berchtold & J. Presl||
0|Marattiales|Prantl||
0|Metteniusales|Takhtajan||
0|Myrtales|Reichenbach||
0|Nymphaeales|Dumortier||
0|Ophioglossales|Link||
0|Osmundales|Bromhead||
0|Oxalidales|Heintze||
0|Pandanales|Berchtold & J. Presl||
0|Paracryphiales|Reveal||
0|Petrosaviales|Takhtajan||
0|Picramniales|Doweld||
0|Pinales|Gorozh.||
0|Piperales|Dumortier||
0|Poales|Small||
0|Polypodiales|Link||
0|Proteales|Berchtold & J. Presl||
0|Psilotales|Prantl||
0|Ranunculales|Berchtold & J. Presl||
0|Rosales|Perleb||
0|Salviniales|Britt.||
0|Santalales|Berchtold & J. Presl||
0|Sapindales|Berchtold & J. Presl||
